,Model,NASDX_RMSEs,IVV_RMSEs,VFIAX_RMSEs,VTSAX_RMSEs,QQQ_RMSEs,SWPPX_RMSEs,SWTSX_RMSEs,FXAIX_RMSEs,VUG_RMSEs,DIA_RMSEs,SPY_RMSEs,VOO_RMSEs,VTWO_RMSEs
0,Baseline,1.5885899183148018,21.44256362394165,19.79774953480464,5.5854746888693345,17.215618736553488,3.2675619351436938,3.9179866823225855,7.390902158348853,14.170784574093174,19.16318125804198,21.31842449014511,19.66119545020706,12.377123003752873
1,ARIMA,2.2927055377118286,36.02660029749581,33.11919144630005,7.658805229373683,22.83080747276181,5.890845712758608,5.7792976923663355,12.634808742698912,21.1150982629514,20.14313635539877,35.735622072059634,32.93787703261937,73.85063550985237
2,LSTM,0.4328906225642511,4.124592973788909,4.080433260912134,1.0773141651330402,5.30979437294211,0.6912134627204154,0.8202364420650088,1.4607729878753506,3.6854280908932906,2.945878759972298,4.413671812061644,3.852906820866543,5.43574361096695
3,FBprophet,5.670109251774348,32.48823334723168,31.88472365448033,10.883667824947462,63.844688079967355,5.617840243660562,7.457487413087075,11.723049956025578,41.45043681100149,24.60561681951655,35.48411133489759,31.30244407447065,102.42885398473558
